tool             tier(s)            nodes   flags   %described     ms  status
dpkg-shlibdeps   help                   5      14         100%    100  ok
dpkg-source      help                   1      35          94%    100  ok
dpkg-split       help                   5      11         100%     20  ok
dpkg-statoverride help                   1      14          93%     20  ok
dpkg-trigger     help                   1       8         100%     20  ok
dpkg-vendor      help                   1       6          83%     40  ok
dsymutil-18      help                   1      41          93%     20  ok
du               carapace+help          1      28         100%     20  ok
dumpe2fs         help                   1       0            —     20  ok
dumpkeys         help                   5      14          93%     20  ok
dumpsexp         help                   1       6         100%     20  ok
dwp              help                   1       0            —     20  ok
e2freefrag       help                   1       0            —     20  ok
e2fsck           help                   1      12         100%     20  ok
e2image          help                   1       0            —     20  ok
e2label          help                   1       0            —     20  ok
e2mmpstatus      help                   1       0            —     20  ok
e2scrub          help                   1       0            —     20  ok
e2scrub_all      help                   1       0            —     20  ok
e2undo           help                   1       0            —     20  ok
e4crypt          help                   5       0            —     20  ok
e4defrag         help                   2       0            —     21  ok
ebtables         help                   3       0            —     20  ok
ebtables-nft     help                   3       0            —     20  ok
ebtables-nft-restore help                   1       0            —     20  ok
ebtables-nft-save help                   1       0            —      1  ok
ebtables-restore help                   1       0            —      1  ok
ebtables-save    help                   1       0            —     20  ok
ebtables-translate help                   1       0            —     21  ok
ec2metadata      help                   1      29         100%     82  ok
echo             help                  13       3         100%     20  ok
editor           help                  56       0            —     20  ok
editres          help                   1       0            —     20  ok
egrep            carapace+help          1      36         100%     20  ok
eject            help                   1      20          95%     20  ok
elfedit          help                   1       0            —     20  ok
enc2xs           help                   2       0            —     20  ok
encguess         help                   1       0            —     80  ok
env              carapace+help          5      12         100%     20  ok
envsubst         carapace+help         10       3         100%     20  ok
escapesrc        help                   1       0            —     20  ok
ethtool          help                  16       3           0%     21  low-confidence
ex               help                   1      43           2%     20  low-confidence
expand           carapace+help          1       4         100%     20  ok
expiry           help                   1       3         100%     20  ok
expr             carapace+help         21       2         100%     20  ok
factor           carapace+help          1       3         100%     20  ok
fail2ban-client  help                 144      21          95%     82  ok
fail2ban-python  help                  12       0            —     20  ok
fail2ban-regex   help                   9      25         100%    201  ok
fail2ban-server  help                   1      21          95%     60  ok
fail2ban-testcases help                   1      13         100%     80  ok
faillock         help                   1       0            —     20  ok
faillog          help                   1       8         100%     20  ok
faked-sysv       help                   1       0            —     20  ok
faked-tcp        help                   1       0            —     20  ok
fakeroot         carapace+help          1       8         100%     20  ok
fakeroot-sysv    help                   1       0            —     20  ok
fakeroot-tcp     help                   1       0            —     20  ok
fallocate        help                   2      12          92%     20  ok
false            help                   1       2         100%     20  ok
fatlabel         help                   1       5         100%     20  ok
fc-cache         carapace+help          1       8         100%     20  ok
fc-cat           carapace+help          7       4         100%     20  ok
fc-conflist      carapace+help          1       2         100%     20  ok
fc-list          carapace+help          1       6         100%     20  ok
fc-match         help                   1       7         100%     20  ok
fc-pattern       help                   1       5         100%     20  ok
fc-query         help                   1       5         100%     20  ok
fc-scan          help                   1       5         100%     20  ok
fc-validate      help                   1       5         100%     20  ok
fdisk            carapace+help          6      20         100%     20  ok
ffmpeg           carapace+help          1       1         100%     62  ok
ffplay           carapace+help       1473      23         100%    107  ok
ffprobe          carapace+help          1      23         100%     67  ok
fgconsole        help                   1       4         100%     20  ok
fgrep            carapace+help          1      36         100%     20  ok
filan            help                   2       0            —     20  ok
file             carapace+help         11      30         100%     20  ok
filefrag         help                   1       0            —     20  ok
finalrd          help                   2       0            —     20  ok
find             carapace+help         11      26         100%     20  ok
findfs           help                   1       2         100%     20  ok
findmnt          help                  11      36          94%     20  ok
flock            help                   1      11         100%     20  ok
fmt              carapace+help          1       9         100%     20  ok
fold             carapace+help          1       5         100%     20  ok
fonttosfnt       help                   1       0            —     20  ok
free             carapace+help          1      24         100%     20  ok
fsck             help                   1      13         100%     20  ok
fsck.cramfs      help                   1       6         100%     21  ok
fsck.ext2        help                   1      12         100%     21  ok
fsck.ext3        help                   1      12         100%     20  ok
fsck.ext4        help                   1      12         100%     20  ok
fsck.fat         help                   1      21         100%     20  ok
fsck.minix       help                   1       9         100%     20  ok
fsck.msdos       help                   1      21         100%     20  ok
fsck.vfat        help                   1      21         100%     20  ok
fsfreeze         help                   1       4         100%     20  ok
fstab-decode     help                   1       0            —     20  ok
fstrim           help                   2      11         100%     22  ok
funzip           help                   1       0            —     20  ok
fuser            help                   1      16         100%     21  ok
fusermount       help                   1       6         100%     20  ok
fusermount3      help                   1       6         100%     21  ok
fwupdmgr         help                 157      26         100%     20  ok
fwupdtool        help                 246      24         100%     20  ok
fzf              carapace+help          4     120         100%     28  ok
fzf-tmux         help                   4       0            —     20  ok
g++              help                   3      43          95%     20  ok
g++-13           help                   3      43          95%      2  ok
galera_new_cluster help                   1       0            —     20  ok
galera_recovery  help                   1       0            —    264  ok
gapplication     help                   7       0            —     20  ok
gawk             help                   1      28           0%     20  low-confidence
gawkbug          help                   1       0            —     21  ok
gcc              help                   3      43          95%     21  ok
gcc-13           help                   3      43          95%     20  ok
gcc-ar           help                   1       0            —     20  ok
gcc-ar-13        help                   1       0            —     20  ok
gcc-nm           help                   1       0            —     20  ok
gcc-nm-13        help                   1       0            —     22  ok
gcc-ranlib       help                   1       0            —     20  ok
gcc-ranlib-13    help                   1       0            —     20  ok
gcov             help                   1      25          96%      0  ok
gcov-13          help                   1      25          96%     20  ok
gcov-dump        help                   1       6         100%     20  ok
gcov-dump-13     help                   1       6         100%      1  ok
gcov-tool        help                   1       2         100%     20  ok
gcov-tool-13     help                   1       2         100%     20  ok
gdbus            help                   7       0            —     21  ok
gdbus-codegen    help                   2      22         100%     63  ok
gdk-pixbuf-csource help                   1       0            —     20  ok
gdk-pixbuf-pixdata help                   1       0            —     20  ok
gdk-pixbuf-thumbnailer help                   1       3         100%     20  ok
genbrk           help                   1       7         100%     22  ok
gencat           help                   1       4         100%     20  ok
genccode         help                   1      11         100%     20  ok
gencfu           help                   1       7         100%     21  ok
gencmn           help                   1       9         100%     20  ok
gencnval         help                   1       6         100%     21  ok
gendict          help                   1       9         100%     20  ok
genl             help                   1       0            —     20  ok
gennorm2         help                   1       6         100%     20  ok
genrb            help                   1      16         100%     20  ok
gensprep         help                   1      11         100%     20  ok
getcap           help                   1       0            —     22  ok
getconf          help                   1       0            —     20  ok
getent           help                  17       5         100%     20  ok
getkeycodes      help                   1       2         100%     20  ok
getopt           help                   1      11         100%      0  ok
getpcaps         help                   1       5          80%     22  ok
gettext          help                   1       7         100%     20  ok
gettext.sh       help                   1       0            —     20  ok
getty            help                   1      23          87%      1  ok
gh               carapace+help        285    1399         100%     91  ok
gi-compile-repository help                   1       7         100%     20  ok
gi-decompile-typelib help                   1       5         100%     21  ok
gi-inspect-typelib help                   1       4         100%     20  ok
gio              help                  20       0            —     20  ok
gio-querymodules help                   1       0            —     20  ok
git              carapace+help        279    3007         100%     43  ok
git-lfs          help                  78       0            —     20  ok
git-receive-pack help                   1       0            —     20  ok
git-shell        help                   1       0            —     20  ok
git-upload-archive help                   1       0            —     20  ok
git-upload-pack  help                   1       0            —     20  ok
glib-compile-resources help                   1      15         100%     20  ok
glib-compile-schemas help                   1       6         100%     20  ok
glib-genmarshal  help                   2      19         100%     40  ok
glib-gettextize  help                   1       0            —     20  ok
glib-mkenums     help                  16      14          93%     60  ok
gmake            help                   1      32         100%     20  ok
gobject-query    help                   3       0            —     20  ok
gold             help                   1     291          97%     22  ok
gp-archive       help                   1       9         100%     20  ok
gp-collect-app   help                   1      20         100%     20  ok
gp-display-html  help                  33       0            —    140  ok
gp-display-src   help                   1       7         100%     20  ok
gp-display-text  help                  15       4         100%     21  ok
gpasswd          carapace+help          1       8         100%     20  ok
gpg              carapace+help          9      59         100%     20  ok
gpg-agent        carapace+help          6      38         100%     20  ok
gpg-connect-agent help                   9       7         100%     20  ok
gpg-wks-client   help                   7      13         100%     20  ok
gpgconf          help                  16      11         100%     20  ok
gpgparsemail     help                   2       5          80%     20  ok
gpgrt-config     help                   7       0            —     20  ok
gpgsm            help                   8      32         100%     20  ok
gpgsplit         help                   7       2         100%     20  ok
gpgtar           help                   8      10         100%     20  ok
gpgv             help                   7       3         100%     20  ok
gprof            help                   1       0            —     20  ok
gprofng          help                  32       4         100%     20  ok
grep             carapace+help          1      48         100%     20  ok
gresource        help                   6       0            —     20  ok
groupadd         carapace+help          1      10         100%     20  ok
groupdel         carapace+help          1       4         100%     20  ok
groupmems        carapace+help          1       7         100%     20  ok
groupmod         carapace+help          1       9         100%     20  ok
groups           carapace+help          1       2         100%     20  ok
growpart         help                  10       0            —     20  ok
grpck            help                   1       5         100%     20  ok
grpconv          help                   1       2         100%     20  ok
grpunconv        help                   1       2         100%     20  ok
grub-editenv     help                  10       0            —     20  ok
grub-file        help                   1      32          94%     20  ok
grub-fstest      help                  21       0            —     20  ok
grub-glue-efi    help                   1       6         100%     20  ok
grub-install     help                   3      31          97%     20  ok
grub-kbdcomp     help                   1       3         100%     40  ok
grub-macbless    help                   1       5         100%     20  ok
grub-menulst2cfg help                   1       0            —     20  ok
grub-mkconfig    help                   1       3         100%     20  ok
grub-mkdevicemap help                   1       6          83%     20  ok
grub-mkfont      help                   1      12         100%     20  ok
grub-mkimage     help                  17       7         100%      1  ok
grub-mklayout    help                   1       5         100%     20  ok
grub-mknetdir    help                   3      12         100%     20  ok
grub-mkpasswd-pbkdf2 help                   1       5         100%     20  ok
grub-mkrelpath   help                   1       2         100%     20  ok
grub-mkrescue    help                   3      19         100%     20  ok
grub-mkstandalone help                  17      10         100%     20  ok
grub-mount       help                   1       7         100%     20  ok
grub-probe       help                   1       7         100%     20  ok
grub-reboot      help                  12       3         100%     40  ok
grub-render-label help                   1       9         100%     20  ok
grub-script-check help                   1       3         100%     20  ok
grub-set-default help                   1       3         100%     40  ok
grub-syslinux2cfg help                   1      11         100%     20  ok
gsettings        help                  15       0            —     20  ok
gtester          help                   1      13          92%     20  ok
gtester-report   help                   1       3         100%     40  ok
gtk-builder-tool help                   1       0            —     20  ok
gtk-encode-symbolic-svg help                   1       2         100%     20  ok
gtk-launch       help                   1       5         100%     20  ok
gtk-query-settings help                   1       0            —     20  ok
gtk-update-icon-cache help                   1       8         100%     20  ok
guacd            help                   1       0            —     20  ok
guacenc          help                   1       0            —     40  ok
guaclog          help                   1       0            —     20  ok
gunzip           carapace+help          1      13         100%     20  ok
gzexe            help                   1       1         100%     20  ok
gzip             carapace+help          1      18         100%     20  ok
h2ph             help                   9       0            —     40  ok
h2xs             help                   3      25         100%     40  ok
halt             carapace+help          1       9         100%     20  ok
hardlink         help                   1      22         100%     20  ok
head             carapace+help          1       8         100%     20  ok
helpztags        help                   1       0            —     40  ok
hmac256          help                   1       0            —     20  ok
hostid           carapace+help          1       2         100%     20  ok
hostname         carapace+help         13      17          94%     20  ok
hostnamectl      help                   7       3         100%     20  ok
iconv            help                  12       0            —     20  ok
iconvconfig      help                   2       2         100%     20  ok
icuexportdata    help                   1       7         100%     20  ok
icuinfo          help                   2       5         100%     20  ok
icupkg           help                  45       0            —     20  ok
id               carapace+help          1      10         100%     20  ok
ifnames          help                   1       2         100%     60  ok
infocmp          help                   1      18         100%     20  ok
infotocap        help                   2      28         100%     20  ok
init             help                   7       2         100%     20  ok
innochecksum     help                   1      18         100%     20  ok
innotop          help                   1       0            —    100  ok
insmod           help                   1       2         100%     20  ok
install          carapace+help         13      21         100%     20  ok
install-sgmlcatalog help                   1       0            —     20  ok
installkernel    help                   1       0            —     20  ok
instmodsh        help               87994       0            — 168926  ok
invoke-rc.d      help                   3       8         100%      3  ok
ionice           help                   1       8         100%     20  ok
ip               help                   5       7           0%     20  low-confidence
ip6tables        help                   7      16          88%     20  ok
ip6tables-apply  help                  21       0            —     20  ok
ip6tables-legacy help                   7      16          88%     20  ok
ip6tables-legacy-restore help                   1       0            —     21  ok
ip6tables-legacy-save help                   1       0            —     20  ok
ip6tables-nft    help                   7      16          88%     20  ok
ip6tables-nft-restore help                   1       0            —     20  ok
ip6tables-nft-save help                   1       0            —     20  ok
ip6tables-restore help                   1       0            —     20  ok
ip6tables-restore-translate help                   1       0            —     20  ok
ip6tables-save   help                   1       0            —     20  ok
ip6tables-translate help                   7      16          88%     20  ok
ipcmk            help                   2       6          83%     20  ok
ipcrm            help                   1      10         100%     20  ok
ipcs             help                   1      13         100%     20  ok
iptables         help                   7      18          78%     20  ok
iptables-apply   help                  21       0            —     20  ok
iptables-legacy  help                   7      18          78%     20  ok
iptables-legacy-restore help                   1       0            —     20  ok
iptables-legacy-save help                   1       0            —     20  ok
iptables-nft     help                   7      18          78%     20  ok
iptables-nft-restore help                   1       0            —     20  ok
iptables-nft-save help                   1       0            —     20  ok
iptables-restore help                   1       0            —     20  ok
iptables-restore-translate help                   1       0            —     20  ok
iptables-save    help                   1       0            —     20  ok
iptables-translate help                   7      18          78%     20  ok
iptables-xml     help                   1       0            —     20  ok
ischroot         help                   1       0            —     20  ok
iscsi-iname      help                   1       2         100%     20  ok
iscsi_discovery  help                   1       0            —     20  ok
iscsiadm         help                   1       0            —     20  ok
iscsid           help                   1      10         100%     20  ok
iscsistart       help                   1      17          94%     20  ok
